id,season,winner,home_team_avg_score,visitor_team_avg_score
63458,2019,0,107.0,112.8
63411,2019,0,106.1,116.3
63410,2019,0,110.1,110.3
63416,2019,1,113.5,112.2
63439,2019,1,117.0,112.2
63440,2019,1,110.4,101.6
63453,2019,1,116.6,112.2
63461,2019,1,114.6,110.8
63481,2019,1,110.9,111.5
63475,2019,1,114.7,108.3
63497,2019,0,114.5,111.5
63487,2019,0,106.1,112.0
63519,2019,1,117.6,108.8
63501,2019,0,109.3,106.4
63545,2019,1,106.1,104.8
63527,2019,0,117.3,109.8
63539,2019,0,110.4,111.5
63530,2019,0,110.1,114.1
63540,2019,1,114.6,101.6
62639,2019,1,106.1,106.2
62631,2019,1,114.7,112.0
62636,2019,0,110.9,116.3
62654,2019,0,106.1,116.1
62648,2019,0,107.0,112.6
62649,2019,0,114.6,108.8
62673,2019,1,117.0,110.9
62665,2019,1,119.4,111.5
62666,2019,0,107.0,101.6
62685,2019,1,110.9,108.8
62669,2019,1,114.5,116.1
62678,2019,1,114.5,107.7
62674,2019,1,114.0,105.2
62681,2019,0,108.6,110.3
62690,2019,1,116.6,105.6
62686,2019,1,109.3,106.2
62702,2019,0,114.6,109.8
62695,2019,1,114.7,106.4
62733,2019,0,110.9,108.8
62707,2019,1,112.2,116.1
62712,2019,0,113.4,116.3
62717,2019,1,112.9,101.6
62728,2019,1,117.0,111.5
62752,2019,1,116.6,107.6
62739,2019,1,115.4,114.8
62747,2019,1,117.6,114.9
62763,2019,1,117.7,111.5
62807,2019,1,117.0,116.1
62767,2019,1,110.4,110.3
62776,2019,1,116.6,112.0
62790,2019,1,113.0,108.3
62809,2019,0,104.2,107.6
62828,2019,1,114.5,101.6
62855,2019,1,110.4,108.8
62841,2019,1,113.0,106.2
62904,2019,0,108.6,108.3
62898,2019,1,117.3,109.8
62900,2019,0,105.4,110.0
62974,2019,1,112.1,107.7
62923,2019,0,117.7,109.8
62930,2019,1,119.4,108.3
62946,2019,0,114.5,112.2
62958,2019,0,106.1,101.6
62966,2019,1,113.4,114.8
62995,2019,1,113.2,112.2
62980,2019,1,113.4,108.8
62984,2019,1,104.2,109.8
63001,2019,1,114.7,110.8
63005,2019,1,115.4,105.2
63030,2019,0,105.4,114.8
63019,2019,0,114.5,116.1
63024,2019,1,119.4,107.6
63429,2019,1,106.1,114.8
63412,2019,0,114.0,104.8
63414,2019,0,105.4,107.6
63428,2019,1,113.2,113.4
63418,2019,1,114.5,104.8
63419,2019,0,106.1,112.6
63431,2019,1,117.3,105.2
63441,2019,0,113.0,116.1
63436,2019,1,116.6,106.2
63433,2019,1,112.9,108.8
63442,2019,0,106.1,106.4
63443,2019,1,110.9,105.2
63474,2019,0,115.4,116.1
63447,2019,1,108.6,107.7
63449,2019,1,114.0,110.8
63451,2019,0,114.5,115.8
63482,2019,1,110.4,105.2
63466,2019,1,117.6,104.8
63465,2019,1,119.4,106.4
63467,2019,0,114.5,105.2
63471,2019,1,114.5,110.8
63485,2019,0,108.6,110.9
63531,2019,0,117.0,112.8
63521,2019,1,114.5,112.0
63495,2019,0,113.2,114.9
63499,2019,1,110.4,114.8
63502,2019,1,114.5,108.3
63503,2019,0,105.4,110.9
63525,2019,1,113.4,108.8
63520,2019,1,117.7,112.2
63524,2019,1,108.6,110.0
63550,2019,0,107.0,114.9
63532,2019,0,115.4,106.4
63552,2019,0,114.6,106.2
62670,2019,0,105.4,109.8
62645,2019,0,113.2,112.0
62655,2019,1,115.4,106.2
62660,2019,1,113.2,114.1
62659,2019,0,107.0,113.4
62701,2019,0,114.0,104.8
62662,2019,0,106.1,110.0
62676,2019,0,113.4,116.1
62682,2019,1,114.6,113.4
62688,2019,0,114.6,107.6
62693,2019,1,112.2,107.7
62696,2019,0,114.5,108.8
62718,2019,0,113.2,116.1
62706,2019,1,110.9,107.7
62711,2019,0,106.1,116.1
62724,2019,1,115.4,116.3
62764,2019,0,114.7,112.0
62730,2019,1,112.9,104.8
62740,2019,1,116.6,114.9
62749,2019,1,110.9,110.8
62751,2019,1,106.1,113.4
62777,2019,1,117.7,113.4
62766,2019,0,108.6,107.7
62786,2019,1,114.0,113.4
62782,2019,1,110.4,112.6
62800,2019,1,112.1,109.8
62794,2019,1,110.9,116.1
62814,2019,1,108.6,112.0
62821,2019,1,110.9,112.6
63455,2019,0,112.2,110.3
62823,2019,0,108.6,110.8
63422,2019,0,117.0,109.8
63427,2019,1,110.9,115.8
63434,2019,0,114.0,116.1
63445,2019,0,117.3,110.3
63472,2019,0,108.6,107.6
63448,2019,1,104.2,106.2
63456,2019,1,110.4,112.0
63463,2019,1,114.5,116.3
63486,2019,1,105.4,116.1
63484,2019,0,107.0,114.8
63509,2019,0,116.6,114.9
63498,2019,1,113.5,107.7
63508,2019,1,117.3,114.8
63500,2019,0,108.6,110.3
63516,2019,0,115.4,110.9
63537,2019,1,108.6,113.4
63542,2019,0,112.2,111.5
63543,2019,0,110.4,110.3
62699,2019,1,110.4,105.2
62734,2019,0,114.5,112.8
62720,2019,1,114.5,110.8
62741,2019,0,110.1,113.4
62755,2019,1,113.2,107.7
62744,2019,0,108.6,108.8
62780,2019,1,117.0,106.4
62761,2019,1,114.5,114.1
62770,2019,1,117.6,105.6
62806,2019,1,112.2,105.6
62772,2019,1,105.4,104.8
62781,2019,1,117.6,112.0
62788,2019,1,112.1,101.6
62829,2019,1,113.0,107.7
62808,2019,0,110.1,112.6
62837,2019,1,104.2,105.2
62834,2019,0,117.7,114.9
62839,2019,1,110.4,110.9
62858,2019,1,113.2,114.1
62866,2019,1,119.4,101.6
62899,2019,1,114.0,107.7
62867,2019,0,112.1,108.8
62873,2019,1,106.1,105.6
62877,2019,1,112.9,110.9
62886,2019,1,114.7,116.1
62910,2019,1,119.4,114.9
62893,2019,1,115.4,108.8
62897,2019,0,112.2,112.8
62936,2019,1,112.9,110.0
62906,2019,1,115.4,110.0
62914,2019,0,105.4,107.6
62921,2019,1,112.9,111.5
62941,2019,0,106.1,112.8
62929,2019,0,116.6,109.8
62934,2019,0,107.0,112.2
63006,2019,1,113.0,114.8
62943,2019,0,112.1,101.6
62959,2019,0,113.4,116.1
62962,2019,1,112.2,105.6
62970,2019,1,110.9,106.4
62963,2019,0,114.5,113.4
62971,2019,0,117.6,108.3
62982,2019,1,113.2,107.6
62989,2019,1,117.0,112.6
62990,2019,1,108.6,101.6
62997,2019,1,110.9,108.3
62999,2019,0,114.6,110.9
63038,2019,0,113.0,110.3
63025,2019,1,113.2,114.9
63015,2019,1,112.9,114.8
63016,2019,0,105.4,116.1
63034,2019,0,114.5,110.0
63027,2019,1,108.6,108.8
63039,2019,1,112.9,116.1
63045,2019,0,113.2,112.2
63047,2019,0,110.4,115.8
63051,2019,1,106.1,107.7
63049,2019,1,115.4,104.8
63070,2019,1,113.5,116.3
63055,2019,1,110.9,112.2
63063,2019,1,119.4,108.3
63061,2019,1,116.6,110.8
63082,2019,0,110.4,114.9
63077,2019,1,110.1,110.8
63114,2019,1,119.4,113.4
63097,2019,0,114.7,106.4
63120,2019,1,113.5,105.2
63124,2019,1,114.0,110.3
63169,2019,1,112.1,108.8
63143,2019,1,112.2,106.2
63155,2019,0,117.7,112.8
63163,2019,1,117.7,107.7
63175,2019,1,110.4,107.7
63188,2019,1,112.9,110.8
63185,2019,1,117.0,104.8
63218,2019,1,113.2,112.0
63240,2019,1,115.4,112.2
63221,2019,0,110.9,107.6
63222,2019,1,114.0,105.2
63232,2019,0,110.1,110.0
63255,2019,0,105.4,111.5
63264,2019,0,109.3,110.8
63462,2019,0,113.0,101.6
63269,2019,0,114.7,111.5
63423,2019,0,104.2,110.8
63426,2019,1,113.0,107.6
63432,2019,1,108.6,108.8
63454,2019,0,114.5,114.9
63457,2019,1,113.2,109.8
62736,2019,1,110.4,112.0
62737,2019,0,104.2,112.2
62753,2019,1,113.4,110.9
62745,2019,1,105.4,116.3
62771,2019,1,113.5,108.8
62760,2019,0,105.4,101.6
62773,2019,0,112.1,107.6
62793,2019,0,110.1,110.9
62875,2019,1,117.0,114.8
62801,2019,1,112.9,113.4
62811,2019,0,114.6,111.5
62830,2019,0,106.1,112.0
62840,2019,1,112.9,109.8
62852,2019,0,106.1,111.5
62887,2019,0,110.9,112.8
62876,2019,0,104.2,112.6
62940,2019,1,110.4,110.3
62889,2019,1,104.2,105.6
62912,2019,0,117.3,112.8
62915,2019,1,112.9,104.8
62920,2019,1,114.5,107.6
62928,2019,0,106.1,111.5
62938,2019,1,117.3,106.2
62960,2019,0,110.1,114.9
62986,2019,1,105.4,108.8
62965,2019,1,106.1,114.9
62983,2019,0,114.5,112.0
62993,2019,0,112.9,108.8
63023,2019,1,115.4,101.6
63008,2019,0,112.9,116.3
63014,2019,0,109.3,107.6
63031,2019,1,106.1,107.6
