id,season,winner,home_team_avg_score,visitor_team_avg_score
48952,2018,0,100.2,101.1
48961,2018,1,105.7,102.1
48965,2018,1,101.6,103.9
48967,2018,0,104.5,99.8
48973,2018,1,102.2,99.3
48990,2018,1,103.2,101.8
48980,2018,0,108.4,99.6
48975,2018,0,105.7,104.2
48981,2018,1,106.1,100.1
48982,2018,0,103.3,102.1
48983,2018,1,104.5,103.9
48986,2018,1,103.5,100.1
48992,2018,1,101.8,99.4
48993,2018,1,98.4,102.1
48998,2018,0,103.4,104.2
49020,2018,1,103.1,104.2
49005,2018,0,101.6,104.2
49009,2018,0,107.8,99.4
49027,2018,1,98.4,102.3
49014,2018,0,98.4,98.8
49015,2018,0,108.7,101.5
49018,2018,0,101.6,100.6
49031,2018,0,102.2,101.8
49042,2018,1,104.6,103.9
49037,2018,0,104.8,101.7
49057,2018,1,104.6,99.4
49047,2018,1,100.2,101.5
49061,2018,1,104.9,101.7
49074,2018,1,103.5,95.9
49078,2018,1,101.6,99.6
49139,2018,1,104.8,104.2
49092,2018,0,102.1,98.6
49109,2018,1,106.0,99.3
49123,2018,0,98.4,101.5
49150,2018,1,105.7,101.5
48812,2018,0,106.0,101.7
48821,2018,0,102.2,102.1
48808,2018,0,103.2,102.1
48817,2018,1,109.5,100.6
48818,2018,1,101.6,101.4
48822,2018,1,101.7,100.1
48826,2018,1,104.9,98.4
48854,2018,1,105.7,99.4
48832,2018,1,101.1,101.8
48840,2018,1,105.7,99.3
48852,2018,0,102.1,98.1
48847,2018,0,101.6,98.2
48841,2018,1,104.8,100.1
48836,2018,0,105.7,102.1
48848,2018,1,104.9,96.0
48867,2018,0,105.7,102.1
48871,2018,1,102.2,98.6
48878,2018,1,108.4,101.1
48861,2018,0,103.2,104.6
48863,2018,1,105.7,102.3
48865,2018,1,108.4,103.9
48874,2018,1,106.0,95.9
48876,2018,1,100.2,98.4
48885,2018,1,98.4,102.1
48886,2018,1,100.1,102.3
48928,2018,0,104.6,102.3
48894,2018,0,101.2,100.0
48904,2018,1,104.9,99.8
48912,2018,0,107.8,101.8
48916,2018,0,100.2,98.6
48918,2018,1,103.3,98.4
48948,2018,1,109.5,101.5
48931,2018,1,103.2,98.2
48936,2018,0,103.5,102.1
48941,2018,0,104.9,104.6
48939,2018,1,106.0,99.4
48943,2018,1,103.1,102.3
48964,2018,1,104.6,99.4
48949,2018,1,101.7,103.9
48954,2018,0,101.2,102.1
48956,2018,1,103.5,99.6
48984,2018,0,100.1,104.6
48957,2018,1,103.4,95.9
48978,2018,1,105.7,104.6
48968,2018,1,101.7,98.6
48972,2018,1,103.5,99.4
49008,2018,1,104.5,96.0
48979,2018,0,104.8,98.4
48991,2018,0,101.6,100.0
48997,2018,1,100.9,98.8
48999,2018,1,103.3,100.0
49010,2018,1,100.9,101.8
49003,2018,1,101.8,95.9
49028,2018,1,104.6,104.2
49017,2018,1,105.5,104.2
49019,2018,1,104.5,98.2
49024,2018,1,108.7,99.3
49048,2018,0,101.6,98.6
49025,2018,1,107.8,101.7
49040,2018,1,106.0,100.1
49032,2018,0,100.2,98.6
49050,2018,1,104.5,100.6
49081,2018,1,104.8,99.8
49036,2018,0,101.2,98.4
49035,2018,0,100.1,100.6
49053,2018,1,105.7,100.1
49067,2018,0,108.4,95.9
49065,2018,0,101.8,98.6
49068,2018,1,103.3,101.1
49072,2018,0,109.5,99.4
49064,2018,0,101.6,96.0
49087,2018,1,108.7,104.2
49077,2018,0,102.1,101.1
49083,2018,1,104.6,98.1
49093,2018,0,100.2,101.8
49108,2018,1,100.1,96.0
49090,2018,0,103.4,99.6
49094,2018,0,101.2,98.1
49100,2018,1,105.5,98.2
49099,2018,0,103.5,102.1
49105,2018,0,103.4,101.4
49114,2018,1,108.7,98.2
49124,2018,1,104.9,104.2
49107,2018,1,104.9,98.5
49126,2018,0,105.7,98.6
49134,2018,0,103.4,101.8
49131,2018,1,107.8,100.0
49135,2018,1,100.2,99.8
49144,2018,1,102.1,96.0
49147,2018,1,103.2,99.6
48819,2018,0,101.1,98.6
48820,2018,0,100.9,104.6
48824,2018,0,101.8,101.1
48853,2018,1,101.1,102.1
48831,2018,1,101.6,98.6
48835,2018,1,103.3,98.8
48846,2018,1,101.8,104.6
48868,2018,0,100.9,102.1
48862,2018,0,104.8,95.9
48898,2018,0,106.1,102.3
48900,2018,1,100.9,99.4
48917,2018,1,103.2,100.1
48911,2018,1,100.1,99.4
